sample_id,label,max_abs,final_abs,mean_abs,std_response,zero_crossings
overdamped-052,overdamped,1.0,7.557178726399206e-07,0.08829176569093758,0.21150868777562834,0
overdamped-053,overdamped,1.0,8.77259503543238e-08,0.081151824367555,0.20718891079253862,0
overdamped-054,overdamped,1.0,7.60357909948787e-08,0.08076452968016451,0.2069521541139108,0
overdamped-055,overdamped,1.0,6.102149639362504e-06,0.09841335420362704,0.21741632890020168,0
overdamped-056,overdamped,1.0,9.108997483543824e-06,0.10085784439039738,0.21879527656205175,0
overdamped-057,overdamped,1.0,1.025505250605026e-08,0.07621200437892267,0.20415919277650507,0
overdamped-058,overdamped,1.0,4.862421720342831e-09,0.07487036478918943,0.20333461555116764,0
overdamped-059,overdamped,1.0,2.2840635203597714e-06,0.09316132030713616,0.21438815117823332,0
overdamped-060,overdamped,1.0,2.061826730076804e-08,0.07762904109505589,0.20502990319561218,0
overdamped-061,overdamped,1.0,9.51870028089173e-06,0.10113831915324849,0.21895219297187032,0
overdamped-062,overdamped,1.0,1.841233868962133e-07,0.08331730422837733,0.20850885659097831,0
overdamped-063,overdamped,1.0,1.9865162813710484e-08,0.07754929958714311,0.20498092394122971,0
overdamped-064,overdamped,1.0,1.5621983655662344e-05,0.1044748309628993,0.22079771741167234,0
overdamped-065,overdamped,1.0,2.7948064958235384e-08,0.07829982134890945,0.2054417805822169,0
overdamped-066,overdamped,1.0,1.3740805706004148e-07,0.08242974916737497,0.20796870239775989,0
overdamped-067,overdamped,1.0,2.3217766657113256e-08,0.07788684578918502,0.20518823190377017,0
overdamped-068,overdamped,1.0,1.230442403604215e-08,0.07656585446228951,0.20437666831407755,0
overdamped-069,overdamped,1.0,1.762013274970664e-09,0.07329685724614823,0.20236826095781302,0
overdamped-070,overdamped,1.0,3.848738829941427e-09,0.07448354595162089,0.2030969405307481,0
overdamped-071,overdamped,1.0,3.2082214246045976e-08,0.07861547830446378,0.20563550676244344,0
overdamped-072,overdamped,1.0,3.686126842601702e-09,0.0744137780195857,0.20305407868831862,0
overdamped-073,overdamped,1.0,2.231041230497485e-06,0.09304732955372835,0.21432149303807344,0
overdamped-074,overdamped,1.0,4.086397546004761e-06,0.09615085193847044,0.2161224327783742,0
overdamped-075,overdamped,1.0,4.3556623880805613e-07,0.08620352692251614,0.21025566225923423,0
overdamped-076,overdamped,1.0,2.003993319164561e-07,0.08358260195660466,0.20867006277412642,0
overdamped-077,overdamped,1.0,1.15535852061953e-06,0.0900460688236048,0.21255329210920265,0
overdamped-078,overdamped,1.0,1.2409173639803344e-05,0.10288239466345639,0.2199218021656496,0
overdamped-079,overdamped,1.0,1.0962139412784698e-05,0.10205530168091816,0.21946331123649188,0
overdamped-080,overdamped,1.0,2.966677978404187e-09,0.07407050017502262,0.20284321909284314,0
overdamped-081,overdamped,1.0,3.5519404432411244e-08,0.0788530743558766,0.20578127819416267,0
overdamped-082,overdamped,1.0,7.611707490051169e-08,0.08076738862115027,0.20695390248052922,0
overdamped-083,overdamped,1.0,8.945673849654022e-08,0.08120546365876713,0.2072216861868251,0
overdamped-084,overdamped,1.0,1.931094798659387e-06,0.09235742087795766,0.21391725561163222,0
overdamped-085,overdamped,1.0,5.391007104871695e-07,0.08698772857023301,0.2107273686165041,0
overdamped-086,overdamped,1.0,3.3705485856772904e-09,0.07427074731984423,0.20296621465666587,0
